%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1536679205568311339,-0.414409220219,0.0,0.0,0.0,0.0,0.0
1536679205576297038,-0.451706051826,0.0,0.0,0.0,0.0,0.0
1536679205580442786,-0.493146985769,0.0,0.0,0.0,0.0,0.0
1536679205588320340,-0.5,0.0,0.0,0.0,0.0,0.0
1536679205596342275,-0.523413300514,0.0,0.0,0.0,0.0,0.0
1536679205604327167,-0.560710132122,0.0,0.0,0.0,0.0,0.0
1536679205612376902,-0.59800696373,0.0,0.0,0.0,0.0,0.0
1536679205620443245,-0.627015590668,0.0,0.0,0.0,0.0,0.0
1536679205624482437,-0.660168349743,0.0,0.0,0.0,0.0,0.0
1536679205632368165,-0.689177036285,0.0,0.0,0.0,0.0,0.0
1536679205640862522,-0.714041590691,0.0,0.0,0.0,0.0,0.0
1536679205648422554,-0.738922178745,0.0,0.0,0.0,0.0,0.0
1536679205656469917,-0.759642601013,0.0,0.0,0.0,0.0,0.0
1536679205664188896,-0.776219010353,0.0,0.0,0.0,0.0,0.0
1536679205673232702,-0.796939492226,0.0,0.0,0.0,0.0,0.0
1536679205680484443,-0.817659974098,0.0,0.0,0.0,0.0,0.0
1536679205684327403,-0.838380396366,0.0,0.0,0.0,0.0,0.0
1536679205692372331,-0.859100818634,0.0,0.0,0.0,0.0,0.0
1536679205700202197,-0.879821300507,0.0,0.0,0.0,0.0,0.0
1536679205708187283,-0.904685854912,0.0,0.0,0.0,0.0,0.0
1536679205716511199,-0.925406336784,0.0,0.0,0.0,0.0,0.0
1536679205724298384,-0.941982746124,0.0,0.0,0.0,0.0,0.0
1536679205728405666,-0.958559036255,0.0,0.0,0.0,0.0,0.0
1536679205736295972,-0.970991373062,0.0,0.0,0.0,0.0,0.0
1536679205744195690,-0.98342359066,0.0,0.0,0.0,0.0,0.0
1536679205752461090,-0.991711854935,0.0,0.0,0.0,0.0,0.0
1536679205760334305,-1.0,0.0,0.0,0.0,0.0,0.0
1536679205793759857,-1.0,0.0,0.0,0.0,0.0,0.0
1536679205827198251,-1.0,0.0,0.0,0.0,0.0,0.0
1536679205860554436,-1.0,0.0,0.0,0.0,0.0,0.0
1536679205892307710,-0.95027089119,0.0,0.0,0.0,0.0,0.0
1536679205900345269,-0.896397709846,0.0,0.0,0.0,0.0,0.0
1536679205908396189,-0.825948119164,0.0,0.0,0.0,0.0,0.0
1536679205912913016,-0.738922178745,0.0,0.0,0.0,0.0,0.0
1536679205920238402,-0.639447927475,0.0,0.0,0.0,0.0,0.0
1536679205928769701,-0.527557432652,0.0,0.0,0.0,0.0,0.0
1536679205936318881,-0.455850154161,0.0,0.0,0.0,0.0,0.0
1536679205944313275,-0.343959659338,0.0,0.0,0.0,0.0,0.0
1536679205952301201,-0.244485378265,0.0,0.0,0.0,0.0,0.0
1536679205960449736,-0.165747642517,0.0,0.0,0.0,0.0,0.0
1536679205969364933,-0.103586256504,0.0,0.0,0.0,0.0,0.0
1536679205972327293,-0.0580012202263,0.0,0.0,0.0,0.0,0.0
1536679205980210780,-0.0248484909534,0.0,0.0,0.0,0.0,0.0
1536679205988261751,-0.00827211141586,0.0,0.0,0.0,0.0,0.0
1536679205996258209,0.0,0.0,0.0,0.0,0.0,0.0
1536679206016373190,-0.0662894248962,0.0,0.0,0.0,0.0,0.0
1536679206024292342,-0.157459437847,0.0,0.0,0.0,0.0,0.0
1536679206032193347,-0.28594237566,0.0,0.0,0.0,0.0,0.0
1536679206040266997,-0.418553322554,0.0,0.0,0.0,0.0,0.0
1536679206048277073,-0.5,0.0,0.0,0.0,0.0,0.0
1536679206056516667,-0.627015590668,0.0,0.0,0.0,0.0,0.0
1536679206064730648,-0.759642601013,0.0,0.0,0.0,0.0,0.0
1536679206068335751,-0.875677227974,0.0,0.0,0.0,0.0,0.0
1536679206076209485,-0.958559036255,0.0,0.0,0.0,0.0,0.0
1536679206084274773,-0.995855927467,0.0,0.0,0.0,0.0,0.0
1536679206092428370,-1.0,0.0,0.0,0.0,0.0,0.0
1536679206125703802,-1.0,0.0,0.0,0.0,0.0,0.0
1536679206159760344,-1.0,0.0,0.0,0.0,0.0,0.0
1536679206188312973,-0.970991373062,0.0,0.0,0.0,0.0,0.0
1536679206196630212,-0.912974059582,0.0,0.0,0.0,0.0,0.0
1536679206200500732,-0.830092191696,0.0,0.0,0.0,0.0,0.0
1536679206208686455,-0.726473808289,0.0,0.0,0.0,0.0,0.0
1536679206216251330,-0.6062951684,0.0,0.0,0.0,0.0,0.0
1536679206224205061,-0.5,0.0,0.0,0.0,0.0,0.0
1536679206232472217,-0.393688768148,0.0,0.0,0.0,0.0,0.0
1536679206240270607,-0.265221893787,0.0,0.0,0.0,0.0,0.0
1536679206248475532,-0.161603540182,0.0,0.0,0.0,0.0,0.0
1536679206252611917,-0.0870098769665,0.0,0.0,0.0,0.0,0.0
1536679206260492343,-0.0372807681561,0.0,0.0,0.0,0.0,0.0
1536679206268207409,-0.00827211141586,0.0,0.0,0.0,0.0,0.0
1536679206276565914,0.0,0.0,0.0,0.0,0.0,0.0
1536679206309725893,0.0,0.0,0.0,0.0,0.0,0.0
1536679206336416559,-0.0704334974289,0.0,0.0,0.0,0.0,0.0
1536679206340269909,-0.145027160645,0.0,0.0,0.0,0.0,0.0
1536679206348191802,-0.252773582935,0.0,0.0,0.0,0.0,0.0
1536679206356435935,-0.377112388611,0.0,0.0,0.0,0.0,0.0
1536679206364190367,-0.5,0.0,0.0,0.0,0.0,0.0
1536679206372235216,-0.589718818665,0.0,0.0,0.0,0.0,0.0
1536679206380350304,-0.722329735756,0.0,0.0,0.0,0.0,0.0
1536679206388414742,-0.830092191696,0.0,0.0,0.0,0.0,0.0
1536679206392281005,-0.912974059582,0.0,0.0,0.0,0.0,0.0
1536679206400314224,-0.970991373062,0.0,0.0,0.0,0.0,0.0
1536679206408421042,-0.995855927467,0.0,0.0,0.0,0.0,0.0
1536679206416403522,-1.0,0.0,0.0,0.0,0.0,0.0
1536679206449845077,-1.0,0.0,0.0,0.0,0.0,0.0
